bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
mountain,carbon fiber,590.8,43.12,18.42,lead acid,186W,6.56
standard,carbon fiber,480.94,74.63,24.92,li-ion,299W,8.42
road,carbon fiber,613.91,49.15,19.26,li-ion,183W,4.84
standard,carbon fiber,265.43,70.27,33.68,li-ion,168W,6.94
folding,aluminum,467.73,81.23,20.99,-,189W,5.65
road,steel,800.0,58.37,31.38,li-ion,246W,10.83
mountain,carbon fiber,737.27,66.75,24.51,lead acid,303W,5.68
mountain,carbon fiber,553.88,31.32,32.47,lead acid,247W,7.44
standard,aluminum,420.31,52.69,18.76,li-ion,230W,5.09
mountain,aluminum,242.02,73.37,,nimh,210W,6.59
standard,steel,670.64,57.67,13.77,lead acid,238W,9.85
mountain,carbon fiber,339.87,47.07,26.66,li-ion,258W,6.86
mountain,steel,720.16,54.03,20.96,nimh,307W,8.74
road,steel,344.37,78.95,16.57,lead acid,276W,5.09
mountain,aluminum,716.56,80.81,16.66,li-ion,219W,8.15
standard,aluminum,796.4,58.94,29.3,nimh,196W,7.82
folding,carbon fiber,531.67,48.49,28.29,li-ion,285W,6.21
folding,steel,510.96,65.79,,li-ion,209W,8.73
standard,carbon fiber,333.57,88.14,30.98,nimh,199W,7.38
standard,carbon fiber,252.23,54.13,24.23,lead acid,222W,3.81
mountain,steel,486.64,85.36,25.61,nimh,230W,5.9
mountain,steel,477.94,29.53,31.85,nimh,231W,2.46
folding,steel,402.3,66.22,29.12,li-ion,216W,7.01
folding,steel,567.38,76.43,28.43,lead acid,279W,7.56
mountain,aluminum,590.2,44.32,30.73,nimh,291W,5.76
standard,steel,400.2,63.72,27.56,lead acid,236W,8.23
road,steel,614.21,43.67,28.2,li-ion,203W,7.14
standard,aluminum,513.66,60.28,25.52,lead acid,191W,3.72
folding,steel,703.35,60.03,20.26,lead acid,222W,10.07
mountain,steel,610.01,74.46,32.37,li-ion,245W,7.67
standard,carbon fiber,286.44,55.88,27.31,nimh,299W,6.91
folding,carbon fiber,499.85,75.66,,li-ion,298W,7.79
road,carbon fiber,323.06,58.14,22.28,lead acid,265W,3.44
road,steel,696.45,79.79,17.57,lead acid,197W,8.84
standard,carbon fiber,311.66,49.9,14.06,nimh,213W,5.29
folding,steel,704.25,97.73,28.91,li-ion,221W,7.06
standard,aluminum,323.36,65.73,26.32,li-ion,255W,8.53
mountain,steel,205.7,72.76,19.29,lead acid,313W,6.09
mountain,steel,583.29,90.81,21.95,lead acid,250W,7.05
folding,steel,379.19,55.68,10.61,nimh,211W,5.68
standard,steel,480.34,53.24,27.99,li-ion,216W,4.41
folding,aluminum,509.15,72.56,25.41,li-ion,313W,7.75
folding,steel,225.51,69.52,18.29,lead acid,271W,6.0
folding,carbon fiber,428.11,49.76,25.37,nimh,282W,5.92
road,steel,332.07,69.48,23.99,lead acid,182W,5.45
folding,steel,216.51,77.79,24.73,nimh,270W,2.64
mountain,carbon fiber,616.31,79.82,33.46,nimh,351W,7.03
mountain,aluminum,483.04,75.58,24.47,lead acid,273W,6.76
mountain,steel,498.95,61.05,30.63,lead acid,221W,10.16
mountain,steel,442.22,52.23,17.37,nimh,265W,5.24
road,aluminum,691.35,69.22,28.93,lead acid,241W,6.3
standard,steel,310.46,47.32,26.55,lead acid,217W,5.56
road,steel,292.15,59.34,24.82,li-ion,232W,6.76
folding,steel,224.31,47.4,34.18,li-ion,146W,4.74
mountain,steel,535.87,52.66,25.86,li-ion,218W,4.56
road,carbon fiber,604.6,79.57,26.48,lead acid,216W,7.35
road,steel,426.31,62.9,31.57,li-ion,233W,6.44
standard,carbon fiber,684.44,78.77,24.85,lead acid,212W,8.9
standard,carbon fiber,477.34,79.91,25.9,lead acid,232W,8.64
folding,steel,513.96,81.48,32.08,nimh,199W,6.82
road,aluminum,375.59,62.8,28.67,nimh,267W,6.95
folding,STEel,743.27,36.74,26.56,-,205W,5.32
mountain,carbon fiber,319.16,35.32,21.6,lead acid,232W,4.06
road,steel,434.72,66.44,32.53,nimh,170W,5.13
folding,steel,732.17,57.99,28.39,lead acid,197W,10.02
mountain,steel,354.88,65.76,,li-ion,140W,6.12
standard,steel,796.1,25.32,23.58,lead acid,269W,5.96
standard,steel,402.9,81.1,23.75,nimh,298W,5.08
mountain,aluminum,484.84,69.08,27.52,li-ion,227W,6.87
folding,aluminum,732.47,89.19,,lead acid,262W,6.23
mountain,steel,621.41,61.61,22.78,nimh,211W,7.88
road,aluminum,495.35,75.57,30.31,nimh,275W,6.54
folding,steel,743.57,70.55,17.56,lead acid,237W,7.37
mountain,steel,321.56,83.29,34.29,nimh,251W,6.55
folding,steel,789.79,53.12,23.09,nimh,261W,8.42
mountain,steel,579.99,72.17,28.95,lead acid,251W,6.28
standard,steel,391.5,52.59,20.34,li-ion,238W,6.54
mountain,carbon fiber,345.57,64.94,26.36,li-ion,232W,5.56
road,carbon fiber,599.8,86.86,22.94,li-ion,156W,9.26
mountain,carbon fiber,238.42,57.44,18.23,lead acid,131W,4.15
mountain,aluminum,607.3,73.35,23.29,nimh,265W,6.35
standard,aluminum,709.65,64.03,16.33,li-ion,243W,6.68
road,aluminum,485.74,50.16,22.68,-,217W,7.49
road,steel,641.22,69.58,19.41,nimh,156W,9.33
standard,steel,423.61,64.19,24.19,-,212W,7.4
mountain,carbon fiber,503.75,78.89,30.55,lead acid,240W,5.14
standard,steel,783.79,24.94,29.23,nimh,266W,4.63
mountain,carbon fiber,561.98,38.13,28.04,lead acid,225W,6.68
folding,steel,485.14,57.0,18.0,nimh,161W,6.74
standard,steel,323.96,55.77,25.88,li-ion,240W,5.79
mountain,carbon fiber,735.77,56.02,24.11,nimh,202W,8.77
folding,aluminum,771.19,44.31,15.51,li-ion,337W,7.0
mountain,steel,280.14,59.82,33.5,nimh,281W,4.72
folding,steel,559.28,57.08,,lead acid,232W,6.57
road,steel,397.2,61.23,29.18,li-ion,210W,4.96
mountain,carbon fiber,629.51,53.51,24.66,nimh,234W,6.72
road,aluminum,645.42,51.59,16.28,nimh,227W,5.51
standard,aluminum,525.66,66.87,34.11,nimh,246W,6.23
road,aluminum,362.98,73.1,21.12,lead acid,174W,3.68
standard,aluminum,768.48,73.73,25.46,lead acid,263W,6.77
road,steel,726.76,79.83,25.52,lead acid,239W,8.5
road,aluminum,498.35,62.1,22.55,li-ion,208W,6.42
road,carbon fiber,443.12,58.31,17.37,li-ion,226W,3.32
standard,carbon fiber,227.61,50.93,20.46,nimh,241W,4.93
standard,aluminum,760.38,64.82,38.4,li-ion,233W,8.01
folding,aluminum,507.65,48.04,26.45,nimh,182W,6.58
mountain,steel,498.65,74.28,28.3,nimh,259W,4.05
mountain,steel,524.76,67.58,14.98,lead acid,295W,7.37
road,carbon fiber,462.63,39.09,16.8,lead acid,291W,5.67
standard,steel,690.45,56.5,22.71,nimh,244W,7.02
folding,steel,795.2,84.38,22.59,nimh,224W,5.88
folding,aluminum,370.79,56.52,14.97,lead acid,172W,6.89
mountain,steel,211.71,74.06,29.48,nimh,305W,6.92
standard,steel,582.09,51.71,32.02,lead acid,290W,7.83
mountain,aluminum,380.09,64.07,29.52,lead acid,248W,5.21
mountain,carbon fiber,374.99,77.22,21.81,li-ion,228W,6.21
standard,aluminum,613.01,64.45,19.44,li-ion,294W,6.15
standard,aluminum,649.02,59.62,20.3,lead acid,192W,8.04
folding,aluminum,627.11,59.94,19.51,lead acid,234W,7.28
folding,carbon fiber,717.76,53.21,22.44,lead acid,172W,7.78
standard,carbon fiber,679.34,63.54,19.16,li-ion,218W,7.66
road,carbon fiber,742.07,57.03,33.28,li-ion,325W,9.6
road,carbon fiber,311.36,69.67,23.05,li-ion,200W,6.05
mountain,aluminum,366.28,61.62,17.75,-,211W,8.28
folding,carbon fiber,439.52,57.41,26.23,nimh,218W,9.27
standard,carbon fiber,203.3,98.72,14.19,li-ion,297W,5.11
road,carbon fiber,214.41,79.21,32.8,nimh,186W,7.52
folding,steel,431.72,42.0,17.82,lead acid,246W,6.8
mountain,carbon fiber,779.59,77.56,21.69,-,292W,9.02
standard,carbon fiber,298.45,60.16,28.22,lead acid,247W,4.39
standard,aluminum,210.21,53.59,32.71,nimh,251W,7.24
folding,carbon fiber,522.36,60.83,21.01,lead acid,244W,4.9
road,carbon fiber,705.15,83.78,25.03,nimh,260W,6.74
standard,carbon fiber,596.8,60.28,17.79,lead acid,239W,6.74
mountain,carbon fiber,359.68,64.39,22.47,nimh,288W,7.4
mountain,steel,536.47,60.11,22.68,lead acid,268W,3.33
folding,steel,319.76,81.76,37.99,nimh,275W,5.82
standard,aluminum,336.27,73.3,32.49,nimh,278W,6.67
mountain,aluminum,629.81,93.11,15.38,lead acid,274W,7.26
mountain,carbon fiber,795.5,45.6,29.72,lead acid,350W,8.53
road,carbon fiber,268.43,31.84,26.65,nimh,100W,6.94
road,aluminum,251.93,98.89,24.76,lead acid,286W,5.18
folding,steel,638.22,61.17,27.86,lead acid,223W,7.89
mountain,carbon fiber,707.85,38.11,16.86,lead acid,227W,8.35
folding,steel,241.42,63.17,29.72,nimh,181W,4.08
road,steel,293.35,35.3,28.98,lead acid,264W,6.48
folding,steel,363.58,68.83,27.39,nimh,294W,7.05
road,aluminum,413.71,36.84,25.07,li-ion,262W,7.23
road,aluminum,456.03,67.92,28.94,li-ion,287W,4.73
folding,carbon fiber,223.11,53.96,29.52,li-ion,215W,6.3
mountain,aluminum,453.93,68.03,14.68,lead acid,258W,8.37
folding,steel,330.27,28.92,28.4,li-ion,318W,4.86
road,aluminum,631.92,76.26,22.94,li-ion,268W,6.87
folding,carbon fiber,412.21,65.62,17.75,nimh,279W,6.89
folding,steel,516.96,36.98,20.6,lead acid,174W,5.8
standard,carbon fiber,698.55,48.16,32.98,li-ion,184W,7.45
standard,aluminum,458.13,49.53,25.87,-,171W,4.52
mountain,aluminum,343.47,71.67,26.65,li-ion,217W,6.25
road,steel,785.89,65.07,21.92,lead acid,270W,6.77
standard,steel,685.04,72.93,29.57,lead acid,311W,7.19
folding,aluminum,491.45,50.19,20.98,nimh,409W,4.61
folding,steel,264.53,56.02,30.56,lead acid,236W,5.42
mountain,steel,324.56,81.27,22.94,nimh,202W,7.22
folding,carbon fiber,284.34,53.08,25.81,nimh,213W,4.67
mountain,steel,383.09,83.5,28.27,lead acid,294W,4.45
folding,carbon fiber,241.12,35.96,25.03,lead acid,200W,8.0
folding,aluminum,278.94,86.49,30.12,nimh,331W,3.55
folding,aluminum,795.8,77.3,25.5,li-ion,194W,8.77
folding,steel,724.06,58.21,31.1,nimh,209W,6.33
folding,carbon fiber,623.21,65.79,27.31,nimh,200W,5.02
mountain,steel,239.62,48.0,24.24,lead acid,257W,6.02
road,aluminum,694.05,34.84,27.65,li-ion,165W,7.4
mountain,carbon fiber,757.08,68.21,28.1,lead acid,251W,7.09
road,aluminum,216.81,65.29,25.02,lead acid,293W,6.61
folding,aluminum,785.29,79.78,26.14,nimh,257W,9.33
folding,aluminum,632.82,71.8,31.72,nimh,155W,5.28
standard,carbon fiber,341.67,63.05,23.71,li-ion,259W,6.68
road,steel,551.18,41.23,15.82,lead acid,226W,4.81
folding,carbon fiber,271.14,55.09,26.41,lead acid,250W,3.76
folding,steel,466.53,61.76,31.16,nimh,264W,6.49
mountain,carbon fiber,521.76,81.26,22.88,lead acid,190W,7.57
standard,carbon fiber,347.37,64.78,27.37,lead acid,259W,6.65
road,steel,577.59,57.92,23.71,lead acid,215W,5.76
road,steel,783.49,72.67,29.02,li-ion,252W,8.15
standard,aluminum,758.88,58.36,22.77,li-ion,236W,8.07
mountain,steel,538.27,85.58,20.33,lead acid,255W,6.49
mountain,carbon fiber,604.3,60.92,27.62,lead acid,311W,7.66
standard,aluminum,220.41,77.61,18.21,nimh,189W,4.92
folding,steel,337.77,47.93,21.92,-,298W,2.82
road,steel,504.65,43.55,27.61,-,279W,5.47
road,steel,533.77,63.48,20.28,li-ion,370W,7.15
folding,steel,482.74,51.52,25.36,li-ion,302W,4.78
road,steel,634.62,42.6,23.61,li-ion,215W,6.83
standard,carbon fiber,398.4,47.05,22.02,li-ion,249W,4.8
road,aluminum,663.73,52.19,19.79,-,254W,10.0
mountain,aluminum,251.03,51.11,34.41,nimh,374W,5.76
road,carbon fiber,607.9,50.78,31.86,li-ion,167W,6.06
standard,aluminum,432.32,60.68,25.06,lead acid,206W,5.78
road,steel,253.73,68.25,25.29,nimh,230W,4.73
mountain,steel,462.93,42.55,25.29,nimh,228W,6.53
standard,aluminum,778.99,45.56,27.53,li-ion,172W,5.51
folding,carbon fiber,343.17,75.09,30.68,nimh,222W,6.11
folding,aluminum,395.1,50.78,25.81,lead acid,292W,4.18
mountain,aluminum,604.9,28.29,20.58,nimh,262W,7.76
folding,aluminum,296.05,55.49,33.29,nimh,265W,5.72
folding,steel,518.46,52.5,31.29,li-ion,302W,5.94
road,carbon fiber,348.87,47.4,34.84,nimh,199W,6.49
folding,aluminum,475.84,45.26,18.32,nimh,234W,8.03
road,steel,523.26,79.58,,li-ion,258W,6.3
folding,carbon fiber,749.57,63.42,23.49,-,210W,8.94
mountain,carbon fiber,390.6,61.27,26.51,-,221W,4.69
standard,carbon fiber,376.79,82.62,26.55,nimh,254W,6.8
standard,carbon fiber,383.69,58.12,23.61,li-ion,305W,8.16
mountain,STEel,643.32,47.6,17.53,li-ion,242W,9.85
folding,carbon fiber,468.33,52.34,23.87,nimh,294W,6.49
road,steel,663.43,52.28,45.64,nimh,202W,7.47
folding,aluminum,699.15,68.6,15.96,nimh,287W,6.53
road,carbon fiber,733.07,61.88,24.59,nimh,301W,7.82
folding,steel,360.58,56.87,18.54,li-ion,177W,6.19
mountain,carbon fiber,633.12,59.32,30.7,lead acid,180W,6.52
folding,steel,368.38,59.42,26.8,li-ion,311W,6.22
road,carbon fiber,261.23,85.62,27.43,lead acid,249W,8.16
mountain,steel,767.88,97.1,19.95,nimh,313W,9.12
road,steel,610.31,61.34,29.5,-,337W,6.14
folding,carbon fiber,439.22,62.04,27.69,li-ion,216W,7.09
folding,carbon fiber,790.7,64.26,29.24,li-ion,184W,7.74
standard,steel,595.9,60.46,24.48,nimh,249W,8.22
standard,steel,407.1,49.84,27.0,nimh,244W,7.39
folding,steel,631.62,75.49,21.82,li-ion,278W,6.54
road,carbon fiber,522.06,54.59,30.05,lead acid,258W,6.8
folding,carbon fiber,368.68,55.73,20.78,li-ion,231W,1.89
mountain,carbon fiber,370.19,63.43,22.08,li-ion,248W,5.75
folding,steel,230.32,57.98,33.84,lead acid,172W,4.5
folding,carbon fiber,620.81,58.14,32.01,nimh,192W,6.58
folding,carbon fiber,664.93,65.61,20.03,lead acid,194W,8.89
folding,aluminum,765.18,65.86,25.45,li-ion,227W,7.92
folding,carbon fiber,791.9,70.45,28.93,lead acid,251W,6.04
standard,STEel,678.44,26.48,23.5,nimh,281W,9.36
mountain,steel,507.95,49.97,23.96,nimh,285W,6.17
mountain,carbon fiber,395.7,73.0,24.18,li-ion,214W,4.55
road,aluminum,686.84,47.54,21.8,li-ion,210W,3.29
road,aluminum,453.33,46.82,15.84,lead acid,272W,9.04
road,aluminum,765.78,48.33,36.18,lead acid,226W,7.34
mountain,steel,420.61,67.62,19.12,nimh,345W,5.54
mountain,carbon fiber,230.62,44.62,23.67,lead acid,180W,5.7
road,carbon fiber,585.09,55.75,19.86,lead acid,253W,7.89
folding,carbon fiber,759.78,42.61,30.8,li-ion,304W,7.93
folding,aluminum,726.46,105.04,23.14,li-ion,170W,6.69
folding,carbon fiber,450.33,50.53,,li-ion,154W,7.21
mountain,carbon fiber,259.43,80.9,19.19,lead acid,312W,4.17
standard,carbon fiber,572.19,52.79,17.68,lead acid,256W,7.54
road,carbon fiber,762.78,54.26,27.21,lead acid,225W,6.9
road,aluminum,602.2,66.17,20.13,li-ion,225W,6.05
folding,carbon fiber,552.98,53.37,29.52,li-ion,262W,7.14
standard,steel,690.15,70.8,30.78,li-ion,255W,9.03
folding,steel,218.61,71.19,26.97,lead acid,267W,6.43
mountain,carbon fiber,201.5,52.02,34.92,lead acid,274W,5.45
folding,aluminum,397.5,77.77,27.7,lead acid,291W,6.44
standard,aluminum,719.56,40.0,22.56,lead acid,254W,7.41
standard,aluminum,680.54,32.91,23.52,nimh,223W,7.13
standard,aluminum,259.13,74.79,24.02,lead acid,315W,7.1
mountain,aluminum,772.99,76.7,23.46,nimh,321W,8.23
standard,carbon fiber,565.28,28.2,36.06,lead acid,258W,8.61
folding,STEel,208.7,78.68,27.8,li-ion,238W,5.46
folding,steel,541.87,61.99,31.83,li-ion,197W,8.01
standard,carbon fiber,248.62,57.31,29.12,li-ion,207W,5.97
mountain,steel,616.91,60.13,22.31,li-ion,199W,6.47
mountain,steel,405.0,60.4,22.25,nimh,267W,8.09
mountain,carbon fiber,786.19,58.02,25.57,li-ion,240W,6.2
standard,steel,256.13,57.95,28.77,nimh,242W,5.01
road,carbon fiber,560.48,66.99,28.16,nimh,349W,8.19
mountain,aluminum,428.71,57.29,15.96,li-ion,262W,4.22
standard,aluminum,688.34,74.61,27.97,li-ion,223W,9.15
folding,steel,254.33,59.56,22.63,li-ion,310W,4.19
standard,steel,598.0,49.05,15.59,li-ion,354W,4.91
folding,carbon fiber,670.34,62.24,20.95,li-ion,362W,7.45
mountain,steel,714.16,72.64,15.17,nimh,235W,7.66
standard,carbon fiber,549.67,71.08,19.13,nimh,242W,6.73
road,steel,244.42,77.58,20.76,lead acid,257W,5.84
standard,carbon fiber,301.75,58.76,20.9,li-ion,264W,5.89
standard,steel,251.63,83.35,24.02,lead acid,282W,5.76
road,carbon fiber,310.76,63.22,22.14,li-ion,270W,4.26
folding,steel,398.1,60.04,23.79,li-ion,339W,8.53
folding,steel,552.08,88.84,26.86,lead acid,252W,5.69
road,steel,387.89,55.05,28.96,li-ion,233W,6.38
standard,steel,309.85,48.72,16.28,lead acid,304W,2.91
mountain,steel,356.98,54.22,24.64,lead acid,178W,4.4
standard,aluminum,667.63,67.68,23.95,-,344W,6.2
mountain,aluminum,655.63,71.19,18.88,lead acid,208W,7.67
road,carbon fiber,290.35,72.43,18.35,-,269W,7.3
road,carbon fiber,648.72,68.51,25.15,li-ion,135W,6.33
road,carbon fiber,483.34,92.91,33.46,lead acid,248W,7.42
folding,steel,324.26,55.0,28.92,nimh,202W,6.54
standard,aluminum,715.36,104.15,18.14,li-ion,228W,8.74
road,STEel,526.56,68.75,25.32,nimh,100W,5.61
road,carbon fiber,462.03,57.57,17.99,-,153W,5.61
road,steel,440.12,60.06,23.3,nimh,267W,7.43
mountain,carbon fiber,700.65,78.88,24.46,lead acid,136W,9.34
standard,carbon fiber,506.45,71.19,,nimh,244W,6.4
folding,aluminum,533.17,71.98,42.84,li-ion,219W,8.06
standard,STEel,594.7,51.19,22.23,li-ion,232W,6.66
folding,aluminum,782.89,47.9,21.32,nimh,206W,8.41
standard,carbon fiber,302.95,36.38,21.54,nimh,314W,5.94
road,steel,517.56,62.61,16.4,lead acid,269W,7.87
mountain,carbon fiber,764.28,90.37,32.17,lead acid,230W,8.17
standard,carbon fiber,278.04,65.13,30.46,nimh,292W,2.3
standard,steel,411.61,57.47,19.71,lead acid,185W,6.89
mountain,steel,632.22,52.04,18.35,lead acid,220W,7.84
mountain,aluminum,203.6,47.61,21.88,nimh,318W,4.7
road,carbon fiber,421.81,64.83,17.35,li-ion,270W,5.92
mountain,aluminum,561.08,40.67,24.7,-,203W,6.8
folding,carbon fiber,566.78,67.05,31.11,lead acid,220W,5.72
mountain,carbon fiber,410.11,68.4,28.07,nimh,359W,8.16
folding,steel,329.66,50.59,17.96,lead acid,199W,4.72
road,carbon fiber,687.14,67.92,18.25,lead acid,193W,6.78
folding,carbon fiber,627.41,65.2,27.49,nimh,307W,5.87
standard,carbon fiber,247.42,81.72,26.8,li-ion,293W,5.08
road,carbon fiber,281.94,52.2,18.64,lead acid,272W,6.82
standard,carbon fiber,465.63,56.85,23.31,lead acid,306W,5.89
folding,carbon fiber,527.76,48.8,29.08,li-ion,248W,9.47
road,aluminum,760.68,56.16,26.5,nimh,175W,7.98
folding,carbon fiber,731.27,86.19,27.83,nimh,216W,9.03
folding,STEel,619.91,60.42,22.11,li-ion,228W,5.63
standard,carbon fiber,282.54,87.86,28.64,nimh,330W,4.9
standard,steel,272.64,57.75,37.23,nimh,253W,6.56
road,steel,331.17,71.14,26.32,lead acid,280W,4.02
folding,carbon fiber,621.71,64.08,25.2,lead acid,224W,7.4
folding,aluminum,374.39,43.2,32.0,-,184W,7.49
road,aluminum,722.56,74.63,29.33,nimh,266W,9.1
mountain,carbon fiber,622.01,60.46,18.36,li-ion,288W,7.41
standard,carbon fiber,349.77,74.75,19.79,-,241W,5.52
road,steel,349.17,78.63,23.28,nimh,245W,7.18
standard,aluminum,500.75,51.44,25.3,li-ion,230W,4.99
standard,aluminum,651.73,58.93,26.95,nimh,235W,6.3
mountain,aluminum,234.82,33.47,27.77,nimh,255W,4.44
mountain,aluminum,784.69,60.56,27.74,lead acid,390W,7.27
road,steel,567.08,51.45,18.42,lead acid,302W,6.79
mountain,aluminum,585.69,76.05,24.06,li-ion,295W,6.11
road,steel,574.29,76.93,22.72,lead acid,212W,6.66
folding,aluminum,554.48,27.0,,nimh,260W,4.09
folding,steel,669.73,52.8,16.26,lead acid,287W,5.85
standard,steel,749.27,73.01,30.41,lead acid,138W,6.84
mountain,STEel,535.27,59.58,34.21,lead acid,229W,8.92
mountain,steel,626.51,41.58,25.34,lead acid,258W,6.83
mountain,carbon fiber,574.59,76.05,,nimh,247W,5.5
folding,aluminum,408.0,59.03,16.92,lead acid,163W,6.42
standard,steel,381.89,77.12,25.85,nimh,258W,5.46
mountain,aluminum,457.23,40.45,22.62,nimh,247W,5.37
mountain,carbon fiber,326.06,45.59,18.68,lead acid,293W,4.9
standard,steel,545.17,47.29,22.71,lead acid,161W,7.42
folding,carbon fiber,235.72,29.95,19.11,nimh,210W,4.7
folding,steel,694.65,52.55,22.64,nimh,259W,7.55
standard,carbon fiber,582.69,82.01,21.46,-,329W,5.65
mountain,carbon fiber,787.69,64.39,32.98,nimh,297W,6.5
folding,aluminum,669.13,86.14,22.8,nimh,244W,7.61
standard,aluminum,488.74,69.88,26.15,li-ion,218W,9.67
folding,aluminum,555.08,41.62,27.74,lead acid,216W,6.44
folding,steel,617.21,34.57,,li-ion,260W,6.73
mountain,carbon fiber,745.97,72.55,24.07,li-ion,282W,8.58
standard,steel,270.24,59.47,26.36,nimh,255W,3.85
road,steel,447.92,67.77,14.19,nimh,200W,3.3
road,aluminum,781.99,57.69,32.2,nimh,182W,7.9
folding,aluminum,284.94,61.69,22.42,nimh,377W,4.89
folding,aluminum,378.89,66.48,33.81,nimh,275W,4.2
mountain,carbon fiber,292.75,22.41,23.89,-,291W,4.21
standard,steel,297.55,76.98,16.95,nimh,221W,4.66
road,carbon fiber,265.73,50.33,30.07,lead acid,259W,5.16
folding,carbon fiber,307.15,35.98,22.17,nimh,242W,5.09
road,aluminum,769.68,47.44,30.17,nimh,328W,8.46
mountain,carbon fiber,715.06,93.33,25.42,nimh,195W,8.37
mountain,steel,740.87,49.46,16.41,lead acid,379W,8.15
folding,aluminum,647.52,73.2,26.76,lead acid,181W,8.37
road,aluminum,528.36,71.17,33.19,lead acid,262W,7.26
folding,aluminum,711.16,83.67,30.9,lead acid,206W,10.44
standard,steel,733.97,32.06,20.48,nimh,281W,7.69
mountain,carbon fiber,677.54,62.64,25.48,lead acid,260W,6.55
standard,carbon fiber,587.19,55.07,29.37,lead acid,297W,4.71
standard,steel,622.91,98.03,,lead acid,159W,5.47
standard,carbon fiber,706.65,47.75,31.42,nimh,222W,8.74
road,carbon fiber,330.87,43.58,17.44,li-ion,303W,4.2
standard,aluminum,787.39,51.37,24.49,li-ion,134W,7.58
mountain,steel,624.41,61.95,26.23,nimh,299W,6.78
mountain,steel,268.13,66.37,20.06,li-ion,260W,7.42
mountain,aluminum,762.48,61.89,24.89,lead acid,221W,6.58
folding,steel,679.64,100.38,27.2,nimh,208W,6.11
road,aluminum,576.09,38.39,28.87,nimh,238W,6.92
folding,steel,780.79,23.0,24.68,-,265W,5.88
folding,aluminum,438.02,38.53,20.56,li-ion,181W,5.93
standard,steel,788.89,65.93,18.92,li-ion,215W,8.53
folding,carbon fiber,774.79,22.22,34.99,nimh,259W,6.45
folding,steel,499.25,52.14,33.09,lead acid,225W,6.63
mountain,steel,423.91,58.71,32.41,lead acid,254W,7.2
folding,steel,618.71,49.52,21.62,lead acid,218W,6.39
road,aluminum,717.46,63.73,24.38,nimh,260W,6.51
mountain,steel,744.77,69.35,24.18,li-ion,303W,8.07
road,carbon fiber,798.2,50.87,33.96,li-ion,231W,6.9
road,steel,544.27,72.74,23.66,li-ion,321W,9.97
standard,steel,442.52,41.63,29.5,nimh,283W,4.34
folding,steel,616.61,55.31,31.42,nimh,227W,6.25
road,carbon fiber,404.4,63.19,38.14,lead acid,223W,8.3
folding,carbon fiber,703.05,20.0,30.47,lead acid,327W,8.77
road,carbon fiber,416.71,73.08,28.25,lead acid,355W,8.4
standard,steel,358.18,54.71,22.85,nimh,203W,4.29
standard,aluminum,408.9,57.64,21.67,nimh,257W,8.4
folding,carbon fiber,357.58,65.52,23.2,lead acid,258W,5.54
road,steel,450.93,72.18,25.05,nimh,247W,5.42
folding,steel,309.55,54.51,16.6,nimh,207W,4.29
mountain,aluminum,242.92,52.32,26.85,lead acid,225W,4.29
folding,steel,235.42,69.27,27.95,lead acid,248W,5.62
folding,aluminum,512.76,53.51,27.73,nimh,177W,5.48
mountain,carbon fiber,329.36,62.71,26.55,nimh,317W,3.42
folding,carbon fiber,557.78,46.01,24.99,li-ion,347W,6.32
standard,aluminum,534.07,70.83,32.3,li-ion,173W,4.6
standard,aluminum,429.91,56.04,26.92,lead acid,245W,8.1
mountain,aluminum,334.47,75.21,23.91,lead acid,252W,4.99
mountain,steel,700.05,66.37,27.06,lead acid,310W,6.74
folding,steel,573.69,36.23,27.86,nimh,148W,9.17
road,aluminum,327.26,66.96,25.1,lead acid,254W,5.15
standard,carbon fiber,482.44,66.92,22.35,nimh,232W,6.52
mountain,steel,728.86,34.14,16.09,nimh,239W,8.34
folding,steel,290.65,44.15,32.19,lead acid,176W,4.71
standard,steel,393.0,45.04,23.23,li-ion,257W,7.61
road,aluminum,479.14,53.33,26.24,nimh,313W,6.13
folding,carbon fiber,654.73,60.59,27.0,li-ion,177W,7.93
folding,carbon fiber,280.74,57.78,25.84,nimh,282W,5.2
standard,carbon fiber,741.77,70.63,23.45,li-ion,279W,8.51
folding,steel,474.64,52.78,27.12,nimh,184W,6.96
mountain,carbon fiber,313.76,43.57,24.49,li-ion,303W,5.54
mountain,aluminum,495.65,86.22,26.12,-,226W,9.37
folding,carbon fiber,642.72,52.35,26.89,lead acid,292W,6.14
road,steel,532.57,61.37,19.71,nimh,230W,5.91
folding,carbon fiber,392.4,54.71,23.33,nimh,230W,7.49
standard,aluminum,767.28,52.02,26.13,lead acid,247W,8.52
folding,steel,206.6,72.78,24.43,nimh,108W,5.98
standard,steel,585.99,56.37,19.47,lead acid,311W,5.39
road,aluminum,258.83,64.66,16.62,lead acid,277W,3.61
mountain,steel,464.73,65.15,27.88,-,303W,7.49
road,steel,511.86,56.17,32.15,lead acid,250W,5.67
folding,aluminum,603.4,57.46,31.03,nimh,231W,6.51
mountain,aluminum,682.94,87.68,17.57,lead acid,194W,6.69
road,aluminum,695.85,70.83,30.73,-,265W,8.44
mountain,carbon fiber,246.22,71.3,29.49,lead acid,286W,7.58
folding,carbon fiber,365.68,82.96,19.07,li-ion,253W,5.61
standard,carbon fiber,564.08,63.11,34.81,lead acid,216W,7.37
